55	250	0	275
56	250	0	325
60	250	0	375
60	250	0	300
60	250	0	200
70	250	0	350
70	250	0	275
85	250	0	150
85	250	0	200
99	250	0	200
100	250	0	150
63	380	0	350
66	380	0	400
70	380	0	375
70	380	0	500
72	380	0	350
75	380	0	400
78	380	0	350
100	380	0	150
70	616	0	250
60	724	0	325
70	724	0	300
72	724	0	275
75	724	0	325
62	756	0	200
85	756	0	300
70	826	0	250
60	840	0	275
61	840	0	350
61	840	0	325
61	840	0	300
62	840	0	275
62	840	0	300
62	840	0	300
64	840	0	300
65	840	0	150
68	840	0	300
70	840	0	375
70	840	0	350
70	840	0	350
70	840	0	350
82	840	0	200
91	840	0	300
65	36	0	325
70	36	0	250
80	36	0	325
65	40	0	350
80	40	0	275
70	56	0	150
70	56	0	100
73	56	0	100
65	124	0	275
70	124	0	350
70	124	0	325
70	124	0	300
74	124	0	275
75	124	0	325
80	124	0	300
100	124	0	200
72	840	0	350
72	840	0	350
72	840	0	325
72	840	0	325
72	840	0	275
70	36	36	275
64	124	84	300
72	124	84	300
74	124	84	275
75	276	84	300
78	276	84	300
82	276	84	325
83	276	84	350
67	380	84	300
76	620	84	275
68	840	84	300
70	840	84	375
70	840	84	375
70	840	84	375
70	840	84	350
70	840	84	350
70	840	84	350
70	840	84	325
70	840	84	325
70	840	84	275
70	840	84	300
72	840	84	325
72	840	84	325
72	840	84	275
72	840	84	300
72	840	84	300
75	840	84	300
78	840	84	325
80	840	84	350
80	840	84	325
80	840	84	325
80	840	84	300
86	840	84	325
90	840	84	325
72	32	68	325
68	36	68	350
76	40	68	275
90	40	68	325
71	68	68	275
73	124	68	350
70	250	68	350
70	756	68	300
60	840	68	250
60	840	68	300
67	840	68	325
68	840	68	350
68	840	68	300
70	840	68	325
70	840	68	325
70	840	68	325
70	840	68	325
70	840	68	275
70	840	68	250
70	840	68	250
70	840	68	300
70	840	68	300
70	840	68	300
75	840	68	350
75	840	68	325
75	840	68	275
75	840	68	250
75	840	68	300
75	840	68	200
80	840	68	325
80	840	68	275
87	840	68	325
70	32	76	350
70	36	76	250
55	76	76	275
60	76	76	300
65	76	76	325
70	76	76	350
70	76	76	350
75	76	76	325
75	76	76	325
80	76	76	325
85	76	76	350
70	124	76	300
80	124	76	300
70	250	76	325
75	250	76	375
75	250	76	350
75	250	76	350
75	250	76	400
72	826	76	175
67	840	76	300
68	840	76	375
70	840	76	375
70	840	76	350
70	840	76	350
